,Unnamed: 0,PID,Longitude,Latitude,Edwards,Fellows,Meeker,Mitchell,Sawyer,Northwood,Middle,High
0,1,526301100,-93.619754,42.054035,9831,2156,2177,8245,7163,589,9637,2865
1,2,526350040,-93.61975600000001,42.053014000000005,9734,2059,2137,8205,7066,445,9540,2768
2,3,526351010,-93.6193873,42.052659000000006,9695,2019,2097,8166,7026,405,9500,2729
3,4,526353030,-93.61731999999999,42.051245,9728,2052,1755,7823,7059,167,9533,2762
4,5,527105010,-93.638933,42.060899,8932,2817,4177,10662,6264,2902,8738,3004
5,6,527105030,-93.638925,42.060779,8946,2803,4163,10648,6278,2888,8752,2990
6,7,527127150,-93.633792,42.062978,9471,3342,4703,11188,6803,3427,9277,3529
7,8,527145080,-93.633826,42.060728000000005,9210,3003,3787,10272,6542,2512,9016,3292
8,9,527146030,-93.632852,42.06112,9330,3122,3907,10392,6662,2631,9136,3412
9,10,527162130,-93.63906800000001,42.059193,8842,2607,3967,10452,6173,2692,8647,2794
10,11,527163010,-93.63694699999999,42.058479999999996,8791,2556,3916,10402,6123,2641,8597,2743
11,12,527165230,-93.635951,42.057419,8891,2656,4016,10501,6223,2741,8697,2843
12,13,527166040,-93.63864699999999,42.058151,8691,2456,3816,10302,6023,2541,8497,2643
13,14,527180040,-93.634626,42.057268,8807,2599,3384,9869,6139,2109,8613,2889
14,15,527182190,-93.632913,42.059169,9147,2939,3723,10208,6478,2448,8952,3228
15,16,527216070,-93.62655,42.061239,9901,3030,3206,9691,7233,1930,9707,3320
16,17,527225035,-93.6235954,42.060351399999995,16274,3603,3430,9915,7645,2155,10119,4312
17,18,527258010,-93.628804,42.05885,9446,2574,3359,9844,6777,2083,9251,2864
18,19,527276150,-93.62297099999999,42.056672999999996,9689,2573,2400,8885,7020,1125,9495,3107
19,20,527302110,-93.636655,42.054453,8728,1975,3108,10164,6059,2403,8533,2162
20,21,527358140,-93.633962,42.050346000000005,8315,1562,2695,9565,5646,2762,8120,1749
21,22,527358200,-93.636372,42.050270000000005,8226,1473,2606,9476,5557,2673,8031,1660
22,23,527368020,-93.63936600000001,42.049296999999996,7512,1776,3034,10289,4844,2976,7318,1963
23,24,527402200,-93.626231,42.055147,9267,2412,2671,9165,6599,1404,9073,2701
24,25,527402250,-93.626537,42.054592,9123,2268,2598,9092,6455,1332,8929,2558
